available_bike_stands,surface_pressure,temperature,apparent_temperature,day_of_week
2,989.9,11.8,9.7,4
1,990.6,13.5,11.6,4
0,990.3,15.5,13.5,4
2,989.8,16.7,14.8,4
0,987.2,18.6,16.0,4
2,986.1,19.2,15.9,4
2,985.4,18.7,15.7,4
2,985.1,18.2,15.5,4
5,984.5,17.0,15.1,4
9,984.7,13.4,12.0,4
13,984.7,11.8,10.3,4
11,984.3,10.8,9.1,4
13,983.9,10.2,8.5,4
13,983.4,9.5,7.7,4
11,983.4,8.0,6.2,4
11,982.7,7.8,6.0,5
11,982.1,7.7,6.0,5
11,981.4,6.9,5.0,5
11,980.3,6.1,4.6,5
11,979.9,6.8,5.5,5
12,979.9,6.3,4.7,5
12,979.6,8.4,7.0,5
12,978.5,10.8,9.3,5
11,977.7,14.2,12.8,5
12,976.6,17.1,15.7,5
8,975.7,17.5,15.8,5
6,975.0,19.1,17.6,5
9,974.3,19.7,15.7,5
6,973.5,19.1,15.9,5
4,973.2,17.9,15.1,5
14,973.9,16.4,13.4,5
7,977.0,8.8,3.5,5
5,977.5,7.0,2.7,5
5,979.9,6.8,2.5,5
5,980.2,6.2,3.1,5
6,979.4,6.0,3.8,5
6,979.7,5.9,3.9,5
6,979.5,4.6,1.5,6
6,979.9,3.5,0.7,6
6,979.3,3.7,1.5,6
6,978.9,3.8,1.7,6
6,979.0,3.9,2.1,6
6,978.4,4.9,2.5,6
7,979.0,4.8,2.4,6
7,978.8,5.9,3.1,6
4,979.1,7.7,5.1,6
3,978.6,9.7,6.7,6
1,977.7,10.9,8.1,6
3,977.1,11.7,9.0,6
3,976.2,12.5,9.7,6
6,975.3,12.9,9.8,6
6,974.8,12.7,7.8,6
6,974.9,12.0,7.6,6
6,975.5,8.7,5.5,6
6,976.8,5.4,2.1,6
4,976.9,4.7,2.8,6
5,977.2,4.3,2.2,6
6,977.1,3.6,1.5,6
5,976.7,3.2,1.1,6
5,977.0,3.3,0.9,6
5,977.1,2.8,0.3,0
5,977.1,2.3,-0.4,0
5,976.9,3.1,0.1,0
5,977.3,3.4,0.1,0
3,977.2,3.4,-0.0,0
0,978.3,4.3,0.6,0
5,978.4,6.7,2.7,0
2,978.3,9.1,4.7,0
1,978.2,10.8,6.2,0
6,978.2,12.0,7.8,0
6,977.8,12.5,8.5,0
0,976.7,13.8,10.6,0
5,976.1,14.0,10.7,0
1,975.7,13.8,10.5,0
4,975.4,13.4,10.1,0
3,975.4,11.9,8.8,0
3,975.6,9.7,7.1,0
5,975.9,7.6,5.3,0
6,976.0,7.4,4.6,0
6,975.9,7.1,4.2,0
5,975.8,6.4,3.7,0
7,976.2,5.8,3.2,0
7,976.2,4.3,1.9,1
8,975.9,4.5,1.9,1
8,975.1,3.8,1.1,1
8,974.5,2.9,0.1,1
8,974.1,3.1,0.1,1
9,973.8,3.1,0.3,1
7,973.9,4.0,0.7,1
7,973.8,6.7,3.0,1
3,973.1,13.9,9.6,1
0,972.8,14.6,10.5,1
7,972.0,15.2,11.2,1
7,971.5,15.3,11.4,1
0,970.9,15.9,11.8,1
4,970.4,15.3,10.8,1
10,970.3,14.7,10.1,1
16,970.4,13.5,9.2,1
9,970.5,12.3,8.1,1
11,970.4,11.4,7.7,1
12,970.0,11.0,8.3,1
10,969.3,10.3,8.4,1
11,969.1,10.0,7.9,1
12,969.2,10.1,7.7,1
12,968.6,10.0,7.9,2
12,968.5,9.7,7.4,2
12,967.9,9.4,7.1,2
12,967.6,9.7,7.5,2
12,967.0,9.1,6.5,2
12,967.0,8.8,7.0,2
10,966.7,8.9,6.5,2
3,966.5,10.0,7.6,2
10,966.9,11.7,9.2,2
6,966.5,13.0,10.2,2
4,965.4,16.7,14.1,2
6,964.3,17.5,14.2,2
8,963.4,18.1,15.2,2
10,962.8,17.8,14.8,2
19,962.2,16.7,15.1,2
18,961.6,15.1,14.8,2
15,961.3,14.3,14.0,2
16,961.1,13.5,13.3,2
14,960.6,13.9,13.0,2
14,960.8,12.9,11.1,2
15,961.0,11.9,9.8,2
15,962.0,11.8,9.5,2
15,961.4,12.2,7.6,3
15,960.8,11.5,7.6,3
15,962.2,11.0,5.8,3
15,963.4,10.6,7.1,3
15,963.9,10.1,5.1,3
12,965.4,10.4,5.7,3
0,966.4,11.8,8.1,3
8,966.9,13.4,9.7,3
5,967.8,14.6,10.8,3
2,968.5,15.9,12.3,3
3,969.9,15.6,11.7,3
2,969.8,15.2,11.7,3
7,970.0,14.4,11.1,3
15,970.2,12.1,9.9,3
17,969.4,12.2,10.0,3
20,969.1,11.7,9.6,3
20,969.3,10.6,8.3,3
12,969.5,9.9,8.3,3
11,971.8,10.0,9.1,3
10,975.0,9.9,7.5,3
10,977.1,8.5,5.3,3
9,977.1,7.4,5.5,3
9,978.4,6.5,4.8,4
9,979.0,6.1,4.6,4
9,979.3,5.8,4.2,4
9,979.7,5.3,3.5,4
9,979.7,5.1,3.1,4
9,980.1,4.9,3.2,4
12,980.3,5.4,3.6,4
8,980.3,7.3,5.8,4
7,980.2,11.5,9.5,4
11,980.1,15.2,13.1,4
11,979.9,18.5,15.8,4
11,979.8,18.7,16.2,4
12,979.7,18.7,16.1,4
12,979.8,18.8,16.4,4
11,979.4,17.8,15.8,4
15,979.6,17.7,15.9,4
13,979.3,17.4,15.5,4
16,978.4,16.2,13.9,4
7,978.4,16.1,14.0,4
8,978.7,16.5,14.4,4
6,979.1,16.9,13.9,4
8,980.2,16.7,14.4,4
8,980.2,14.8,13.5,4
8,980.5,14.7,13.1,4
7,980.4,14.0,12.5,5
7,980.3,12.1,10.6,5
7,980.2,11.7,10.2,5
7,979.7,10.6,9.4,5
8,979.5,10.7,9.6,5
7,979.5,12.7,11.7,5
7,979.9,14.8,14.1,5
7,979.4,18.5,18.3,5
5,978.9,21.5,19.1,5
6,978.6,21.5,19.7,5
7,977.9,22.0,20.4,5
13,977.3,22.6,19.8,5
17,976.4,22.2,19.5,5
20,976.2,22.1,20.0,5
19,975.5,21.6,19.7,5
19,975.4,20.1,18.1,5
17,976.3,17.1,14.9,5
16,975.7,14.8,13.1,5
16,975.7,14.8,13.1,5
17,976.1,13.8,12.2,5
