available_bike_stands,available_bikes,bike_stands,name,address,number,date,lat,lon,last_updated
4,16,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-12T12:11:23,,,
8,12,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-12T12:11:23,,,
7,15,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-12T12:11:23,,,
16,0,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-12T12:11:23,,,
18,2,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-12T12:11:23,,,
19,1,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-12T12:11:23,,,
12,8,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-12T12:11:23,,,
9,11,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-12T12:11:23,,,
10,10,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-12T12:11:23,,,
20,0,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-12T12:11:23,,,
16,4,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-12T12:11:23,,,
15,5,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-12T12:11:25,,,
0,20,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-12T12:11:25,,,
7,13,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-12T12:11:25,,,
17,3,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-12T12:11:25,,,
15,6,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-12T12:11:25,,,
4,16,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-12T12:11:25,,,
22,0,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-12T12:11:25,,,
9,11,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-12T12:11:25,,,
7,13,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-12T12:11:25,,,
19,1,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-12T12:11:25,,,
6,14,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-12T12:11:25,,,
14,6,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-12T12:11:25,,,
16,4,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-12T12:11:25,,,
3,17,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-12T12:11:25,,,
13,7,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-12T12:11:25,,,
15,5,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-12T12:11:25,,,
9,11,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-12T12:11:25,,,
4,16,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-12T12:11:25,,,
8,12,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-12T12:11:25,,,
7,15,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-12T12:11:25,,,
16,0,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-12T12:11:25,,,
18,2,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-12T12:11:25,,,
19,1,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-12T12:11:25,,,
12,8,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-12T12:11:25,,,
9,11,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-12T12:11:25,,,
10,10,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-12T12:11:25,,,
20,0,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-12T12:11:25,,,
16,4,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-12T12:11:25,,,
15,5,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-12T12:11:28,,,
0,20,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-12T12:11:28,,,
7,13,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-12T12:11:28,,,
17,3,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-12T12:11:28,,,
15,6,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-12T12:11:28,,,
4,16,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-12T12:11:28,,,
22,0,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-12T12:11:28,,,
9,11,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-12T12:11:28,,,
7,13,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-12T12:11:28,,,
19,1,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-12T12:11:28,,,
6,14,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-12T12:11:28,,,
14,6,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-12T12:11:28,,,
16,4,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-12T12:11:28,,,
3,17,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-12T12:11:28,,,
13,7,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-12T12:11:28,,,
15,5,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-12T12:11:28,,,
9,11,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-12T12:11:28,,,
4,16,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-12T12:11:28,,,
8,12,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-12T12:11:28,,,
7,15,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-12T12:11:28,,,
16,0,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-12T12:11:28,,,
18,2,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-12T12:11:28,,,
19,1,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-12T12:11:28,,,
12,8,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-12T12:11:28,,,
9,11,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-12T12:11:28,,,
10,10,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-12T12:11:28,,,
20,0,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-12T12:11:28,,,
16,4,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-12T12:11:28,,,
15,5,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-12T12:11:35,,,
0,20,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-12T12:11:35,,,
7,13,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-12T12:11:35,,,
17,3,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-12T12:11:35,,,
15,6,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-12T12:11:35,,,
4,16,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-12T12:11:35,,,
22,0,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-12T12:11:35,,,
9,11,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-12T12:11:35,,,
7,13,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-12T12:11:35,,,
19,1,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-12T12:11:35,,,
6,14,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-12T12:11:35,,,
14,6,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-12T12:11:35,,,
16,4,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-12T12:11:35,,,
3,17,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-12T12:11:35,,,
13,7,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-12T12:11:35,,,
15,5,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-12T12:11:35,,,
9,11,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-12T12:11:35,,,
4,16,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-12T12:11:35,,,
8,12,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-12T12:11:35,,,
7,15,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-12T12:11:35,,,
16,0,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-12T12:11:35,,,
18,2,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-12T12:11:35,,,
19,1,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-12T12:11:35,,,
12,8,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-12T12:11:35,,,
9,11,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-12T12:11:35,,,
10,10,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-12T12:11:35,,,
20,0,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-12T12:11:35,,,
16,4,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-12T12:11:35,,,
15,5,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-12T12:15:54,,,
0,20,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-12T12:15:54,,,
6,14,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-12T12:15:54,,,
15,5,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-12T12:15:54,,,
12,9,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-12T12:15:54,,,
4,16,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-12T12:15:54,,,
22,0,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-12T12:15:54,,,
9,11,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-12T12:15:54,,,
7,13,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-12T12:15:54,,,
19,1,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-12T12:15:54,,,
6,14,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-12T12:15:54,,,
15,5,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-12T12:15:54,,,
14,6,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-12T12:15:54,,,
3,17,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-12T12:15:54,,,
13,7,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-12T12:15:54,,,
15,5,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-12T12:15:54,,,
9,11,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-12T12:15:54,,,
5,15,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-12T12:15:54,,,
8,12,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-12T12:15:54,,,
7,15,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-12T12:15:54,,,
16,0,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-12T12:15:54,,,
18,2,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-12T12:15:54,,,
20,0,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-12T12:15:54,,,
12,8,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-12T12:15:54,,,
9,11,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-12T12:15:54,,,
10,10,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-12T12:15:54,,,
20,0,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-12T12:15:54,,,
16,4,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-12T12:15:54,,,
11,9,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-12T12:16:50,,,
6,14,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-12T12:16:50,,,
5,15,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-12T12:16:50,,,
12,8,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-12T12:16:50,,,
13,8,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-12T12:16:50,,,
9,11,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-12T12:16:50,,,
19,3,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-12T12:16:50,,,
19,1,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-12T12:16:50,,,
11,9,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-12T12:16:50,,,
5,15,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-12T12:16:50,,,
12,8,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-12T12:16:50,,,
13,7,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-12T12:16:50,,,
10,10,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-12T12:16:50,,,
7,13,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-12T12:16:50,,,
10,10,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-12T12:16:50,,,
17,3,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-12T12:16:50,,,
5,15,20,UM FGPA - LENT - SODNI STOLP,Pristan 6,28,2024-03-12T12:16:50,,,
14,6,20,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,8,2024-03-12T12:16:50,,,
2,18,20,PARTIZANSKA C. - TIC,Partizanska cesta 6a,7,2024-03-12T12:16:50,,,
12,10,22,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,2,2024-03-12T12:16:50,,,
16,0,16,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,5,2024-03-12T12:16:50,,,
16,4,20,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,12,2024-03-12T12:16:50,,,
9,11,20,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,15,2024-03-12T12:16:50,,,
12,8,20,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,26,2024-03-12T12:16:50,,,
8,12,20,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,23,2024-03-12T12:16:50,,,
8,12,20,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,27,2024-03-12T12:16:50,,,
17,3,20,LIDL - KOROŠKA C.,Koroška cesta 173,18,2024-03-12T12:16:50,,,
18,2,20,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,11,2024-03-12T12:16:50,,,
9,11,20,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,24,2024-03-12T13:10:42,,,
4,16,20,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,10,2024-03-12T13:10:42,,,
3,17,20,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,9,2024-03-12T13:10:42,,,
6,14,20,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,13,2024-03-12T13:10:42,,,
10,11,21,EUROPARK - POBREŠKA C.,Pobreška cesta 18,20,2024-03-12T13:10:42,,,
12,8,20,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,4,2024-03-12T13:10:42,,,
19,3,22,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,1,2024-03-12T13:10:42,,,
20,0,20,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,16,2024-03-12T13:10:42,,,
16,4,20,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,3,2024-03-12T13:10:42,,,
4,16,20,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,21,2024-03-12T13:10:42,,,
18,2,20,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,6,2024-03-12T13:10:42,,,
10,10,20,DVORANA TABOR,Gorkega ulica 48,22,2024-03-12T13:10:42,,,
11,9,20,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,14,2024-03-12T13:10:42,,,
8,12,20,LIDL - TITOVA C.,Titova cesta 15,19,2024-03-12T13:10:42,,,
10,10,20,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,25,2024-03-12T13:10:42,,,
20,0,20,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,17,2024-03-12T13:10:42,,,
